"","X","Pancakes","Snowstorms","Rivers","SheepCreeks","Slate"
"1",1996,70,6,20,10,6
"2",1997,31,8,34,4,11
"3",1998,19,16,15,7,7
"4",1999,NA,NA,28,NA,15
"5",2000,27,17,18,9,13
"6",2001,NA,NA,NA,12,2
"7",2002,36,NA,13,NA,4
"8",2003,35,9,16,14,NA
"9",2004,NA,NA,39,NA,18
"10",2005,26,12,48,12,NA
"11",2006,NA,22,16,2,47
"12",2007,36,NA,48,11,47
"13",2008,NA,NA,47,13,21
"14",2009,34,25,40,13,24
"15",2010,NA,NA,NA,23,28
"16",2011,14,0,40,15,6
"17",2012,2,0,46,13,20
"18",2013,2,NA,26,7,25
"19",2014,21,7,37,13,56
"20",2015,20,1,5,18,60
