year,count
1963,4500
1964,3000
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,5268
1973,5210
1974,5348
1975,
1976,5590
1977,
1978,
1979,
1980,6466
1981,6234
1982,7314
1983,9638
1984,9502
1985,10926
1986,11860
1987,17072
1988,16048
1989,9912
1990,11604
1991,14084
1992,20270
1993,11562
1994,9804
1995,8326
1996,12840
1997,12516
1998,14014
1999,11702
2000,17958
2001,15954
2002,10946
2003,13012
2004,14440
2005,11388
2006,15010
2007,13778
2008,9416
2009,11344
2010,9354
2011,7358
2012,16170
2013,11064
2014,9428
2015,9952
2016,11642
