Year	Pairs	R.Pairs	Eyasses
1964	34	19	27
1965	45	18	30
1966	39	22	36
1967	36	19	37
1968	20	8	19
1969	18	7	10
1970	21	9	9
1971	20	11	17
1972	17	10	15
1973	20	12	23
1974	23	15	35
1975	27	19	40
1976	29	21	42
1977	39	27	53
1978	43	32	65
1979	47	35	77
1980	57	42	97
1981	56	36	81
1982	63	52	112
1983	70	44	85
1984	82	58	121
1985	90	54	117
1986	95	59	122
1987	107	72	154
1988	114	80	141
1989	121	81	173
1990	132	95	205
1991	134	101	209
1992	143	92	176
1993	150	114	238
1994	154	74	143
1995	172	79	121
1996	163	115	233
1997	164	102	225
1998	161	102	200
1999	137	76	112
2000	157	104	240
2001	153	64	130
2002	191	107	178
2003	193	104	197
